Category,Item,Sale_Price_SEK,Quantity,Cost_Per_Unit_SEK,Total_Value_SEK
KAPPOR,Kappor 1200kr,1200,22,600,13200
KAPPOR,Kappor 999kr,999,183,500,91500
KAPPOR,Kappor 799kr,799,597,500,298500
KAPPOR,Kappor 499kr,499,117,500,58500
KAPPOR,Kappor 299kr,299,26,400,10400
VINTERJACKOR KVINNA,Kort 299kr,299,115,120,13800
VINTERJACKOR KVINNA,Lang 499kr,499,314,140,43960
VINTERJACKOR MAN,Vinter jackor Man,,361,120,43320
VINTERJACKOR BARN,Vinter jackor Barn,,234,135,31590
VASKOR,Vaska,,197,43,8471
TROJOR,LL trojor,,417,45,18765
TJOCKTROJOR,CF5,,23,80,1840
TJOCKTROJOR,Ac 891,,73,90,6570
PALS,Pals Vast,,23,90,2070
PALS,Pals kort jacka,,27,90,2430
TROJOR,CF 179kr,179,161,82,13202
MAN KLADER,Man trojor,,43,50,2150
MAN KLADER,Man Tracksuit,,52,150,7800
MAN KLADER,Man tracksuit sommar,,305,150,45750
KVINNOR KLADER,Tracksuit 399kr,399,101,140,14140
KVINNOR KLADER,Tracksuit 199kr,199,144,100,14400
KVINNOR KLADER,Klanning,,35,65,2275
BARN KLADER,Barn tracksuit,,133,65,8645
SKOR 199kr,Hela skor,199,1757,80,140560
SKOR 199kr,Bara en,199,12,65,780
SKOR 99kr,Hela skor,99,502,25,12550
SKOR 99kr,Bara en,99,6,25,150
TOFFLOR,Hela tofflor,,790,35,27650
TOFFLOR,Bara en,,9,35,315
OVRIGT,Leggings,,537,38,20406
OVRIGT,Alex trojor,,503,20,10060
OVRIGT,Overall,,85,200,17000

SUMMARY,,,,TOTAL UNITS:,7904
SUMMARY,,,,TOTAL VALUE SEK:,982749
